GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
labo2,aed,Horario,0,67,1,7,0,11,1,9,0,6
labo2,aed,Recordatorio,2,94,4,6,0,16,4,7,0,6
labo2,aed,ArregloRedimensionableDeRecordatorios,0,163,1,7,0,33,1,12,0,9
labo2,aed,Agenda,0,144,2,10,0,26,2,10,0,6
labo2,aed,Fecha,7,162,1,11,2,24,2,13,1,8
